İl kodu Province code		İl adı Province name	Oran Rate (%)	Değişim katsayısı Coefficient  of variation  (%)	Alt sınır Lower limit	Üst sınır Upper limit		Oran Rate (%)	Değişim katsayısı Coefficient  of variation  (%)	Alt sınır Lower limit	Üst sınır Upper limit		Oran Rate (%)	Değişim katsayısı Coefficient  of variation  (%)	Alt sınır Lower limit	Üst sınır Upper limit
60		Tokat	49.9	0.7	49.2	50.6		6.6	2.6	6.2	6.9		46.7	0.8	45.9	47.4
61		Trabzon	50.3	1.1	49.2	51.4		7.4	3.5	6.9	7.9		46.6	1.2	45.5	47.7
62		Tunceli	54.0	1.8	52.1	55.9		8.1	6.4	7.1	9.1		49.7	2.0	47.7	51.6
63		Şanlıurfa	38.7	1.1	37.8	39.5		16.3	3.5	15.1	17.4		32.4	1.4	31.5	33.3
64		Uşak	54.4	1.0	53.3	55.5		5.4	3.6	5.1	5.8		51.4	1.1	50.3	52.5
65		Van	46.2	0.7	45.6	46.8		10.3	2.4	9.9	10.8		41.4	0.8	40.8	42.0
66		Yozgat	51.5	1.1	50.4	52.7		8.6	4.4	7.9	9.3		47.1	1.3	45.9	48.3
67		Zonguldak	55.3	0.5	54.8	55.9		7.6	1.8	7.3	7.8		51.2	0.6	50.6	51.7
68		Aksaray	50.1	0.9	49.2	50.9		5.8	4.0	5.3	6.2		47.2	1.0	46.2	48.1
69		Bayburt	51.3	0.9	50.4	52.2		6.2	3.6	5.8	6.7		48.1	1.0	47.2	49.1
70		Karaman	50.3	1.4	48.9	51.7		4.2	5.9	3.8	4.7		48.1	1.5	46.7	49.5
71		Kırıkkale	44.7	1.7	43.2	46.2		8.0	4.5	7.3	8.7		41.1	1.9	39.6	42.7
72		Batman	36.2	1.9	34.9	37.6		23.4	6.0	20.7	26.2		27.8	3.1	26.1	29.5
73		Şırnak	37.6	0.8	37.0	38.1		20.1	3.0	18.9	21.2		30.0	1.2	29.3	30.7
74		Bartın	58.5	1.3	57.0	60.0		6.2	5.9	5.5	6.9		54.9	1.4	53.4	56.5
75		Ardahan	62.8	2.8	59.3	66.2		5.8	13.5	4.3	7.3		59.1	3.1	55.5	62.7
76		Iğdır	58.6	1.4	56.9	60.2		6.9	4.8	6.3	7.6		54.5	1.6	52.8	56.2
77		Yalova	52.7	1.4	51.3	54.2		11.0	4.0	10.1	11.9		46.9	1.6	45.5	48.4
78		Karabük	55.1	0.9	54.1	56.1		8.0	3.2	7.5	8.5		50.7	1.1	49.6	51.7
79		Kilis	44.5	1.0	43.6	45.3		7.7	3.0	7.2	8.1		41.1	1.1	40.2	42.0
80		Osmaniye	43.9	1.0	43.1	44.8		14.0	3.1	13.1	14.8		37.8	1.3	36.8	38.8
81		Düzce	56.6	0.8	55.7	57.6		8.7	3.5	8.1	9.3		51.7	1.0	50.7	52.7
